ID,Card,Rarity,Pack,Aidan,Action,,Megan,Action,,AJ,Action,,Roan,Action,,Abby,Action
41,Mankey,1d,MI,1,0,,14,12,,0,0,,0,0,,0,0
42,Primeape,1d,MI,4,2,,9,7,,0,0,,0,0,,0,0
43,Geodude,1d,MI,1,0,,6,4,,0,0,,0,0,,0,0
44,Graveler,2d,MI,3,1,,4,2,,0,0,,0,0,,0,0
45,Golem,3d,MI,2,0,,3,1,,0,0,,0,0,,0,0
46,Aerodactyl ex,4d,MI,0,0,,1,0,,0,0,,0,0,,0,0
47,Marshadow,3d,MI,1,0,,7,5,,0,0,,0,0,,0,0
48,Stonjourner,2d,MI,5,3,,5,3,,0,0,,0,0,,0,0
49,Koffing,1d,MI,3,1,,8,6,,0,0,,0,0,,0,0
50,Weezing,2d,MI,4,2,,4,2,,0,0,,0,0,,0,0
51,Purrloin,1d,MI,3,1,,6,4,,0,0,,0,0,,0,0
52,Liepard,1d,MI,2,0,,8,6,,0,0,,0,0,,0,0
53,Venipede,1d,MI,3,1,,8,6,,0,0,,0,0,,0,0
54,Whirlpede,1d,MI,2,0,,5,3,,0,0,,0,0,,0,0
55,Scolipede,2d,MI,2,0,,7,5,,0,0,,0,0,,0,0
56,Duddigon,2d,MI,4,2,,5,3,,0,0,,0,0,,0,0
57,Pidgey,1d,MI,2,0,,9,7,,0,0,,0,0,,0,0
58,Pidgeotto,1d,MI,4,2,,10,8,,0,0,,0,0,,0,0
59,Pidgeot ex,4d,MI,0,0,,2,1,,0,0,,0,0,,0,0
60,Tauros,3d,MI,1,0,,0,0,,0,0,,0,0,,0,0
61,Eevee,1d,MI,3,1,,7,5,,0,0,,0,0,,0,0
62,Chatot,1d,MI,3,1,,5,3,,0,0,,0,0,,0,0
63,Old Amber,1d,MI,4,2,,10,8,,0,0,,0,0,,0,0
64,Pokemon Flute,2d,MI,2,0,,3,1,,0,0,,0,0,,0,0
65,Mythical Slab,2d,MI,1,0,,8,6,,0,0,,0,0,,0,0
